Amina Flow,Flotation Column 03 Air Flow,% Iron Concentrate,% Silica Concentrate
480.499,249.719,65.04,3.52
491.821,250.038,64.67,3.86
503.601,251.785,66.58,1.41
553.284,251.807,66.94,1.19
521.21,248.17,66.47,1.72
506.866,251.115,66.74,1.83
501.343,248.599,66.45,1.73
465.973,249.346,66.62,1.41
438.08,248.621,66.61,1.76
484.009,251.807,67.1,1.34
517.09,247.983,67.45,1.06
499.878,251.807,65.39,2.35
398.254,249.445,65.39,2.35
297.7235455,249.631,64.03,3.78
306.635,201.929,66.57,1.43
435.199,198.605,66.64,1.33
476.878,199.265,66.41,1.27
252.088,201.251,63.63,5.5
421.216,198.925,66.19,1.64
439.573,200.79,66.26,1.46
460.845,198.801,66.28,1.69
509.822,198.633,64.13,1.81
521.567,202.115,65.88,1.71
535.777,199.072,64.69,2.92
527.364,201.702,65.85,2
539.532,199.121,63.39,3.8
319.0999733,201.295,63.39,3.8
351.9883733,199.072,63.39,3.8
510.959,198.987,63.9,2.77
479.136,199.519,65.68,1.64
507.456,199.292,66.04,2.37
448.985,200.218,66.34,2.04
396.932,201.428,66.27,1.8
244.1055268,202.368,65.69,2.7
305.465,200.191,64.61,3.1
330.1995,201.207,65.03,2.8
457.059,201.112,64.99,2.63
290.8186475,200.236,64.99,2.63
491.318,198.952,64.99,2.63
541.101,199.512,65.76,2.24
525.094,199.951,66.06,2.25
530.7,201.241,64.88,4.28
537.362,198.239,64.42,4.01
535.35,200.817,64.46,4.92
532.718,198.292,63.5,4.915635359
553.498,199.454,65.07,4.13
545.147,200.702,63.79,4.81
401.254,199.618,63.82,4.91
555.143,200.301,63.78,5.07
535.976,200.265,63.45,4.48
502.474,198.843,64.53,3.52
541.185,199.568,65.68,2.47
562.693,200.846,65.17,1.78
551.519,199.3,66.49,1.91
564.575,203.906,66.34,2.26
567.502,200.357,66.92,1.02
561.865,198.633,67.44,1.06
558.322,176.9415797,67.44,1.06
564.832,177.4666681,67.44,1.06
549.669,177.9917566,66.9,1.44
530.37,178.5168451,65.91,1.7
511.7,179.0419336,65.45,1.74
552.83,179.5670221,65.66,1.99
556.262,180.0921106,65.09,2.27
541.994,180.6171991,64.03,3.11
441.85,181.1422876,64.03,3.11
530.189,181.6673761,64.03,3.11
550.698,182.1924646,64.03,3.11
565.112,182.7175531,64.03,3.11
570.439,183.2426416,64.03,3.11
575.155,183.7677301,64.03,3.11
570.068,184.8179071,64.03,3.11
568.324,185.3429956,64.03,3.11
568.68,185.8680841,64.03,3.11
563.812,186.3931726,64.03,3.11
577.557,186.9182611,64.03,3.11
573.143,187.4433496,64.03,3.11
577.269,187.9684381,64.03,3.11
571.569,200.692,64.03,3.11
344.84,200.105,64.03,3.11
479.434,199.484,64.03,3.11
528.35,199.761,64.03,3.11
552.562,201.929,64.03,3.11
553.207,199.77,64.03,3.11
573.673,199.098,64.03,3.11
526.779,201.926,64.03,3.11
519.169,200.958,64.03,3.11
564.196,202.435,64.03,3.11
546.789,202.569,64.03,3.11
575.256,201.318,64.03,3.11
574.053,199.512,64.03,3.11
545.347,199.951,64.03,3.11
502.586,199.87,64.03,3.11
533.074,200.722,64.03,3.11
552.44,201.003,64.03,3.11
506.277,199.533,64.03,3.11
494.392,200.388,64.03,3.11
557.777,201.893,64.03,3.11
567.985,200.216,64.03,3.11
462.857,200.996,64.03,3.11
545.63,198.644,64.03,3.11
476.13,198.603,64.03404432,3.108393352
546.111,198.914,64.76202216,2.819196676
562.019,201.069,65.49,2.53
515.399,198.396,66.32,1.45
569.666,198.794,66.02,1.18
573.348,249.088,66,2.02
526.141,250.064,66.02,1.41
588.12,249.193,65.53,1.58
572.32,250.996,66.53,1
612.202,252.042,65.64,2.57
574.456,251.441,66.32,1.04
571.44,251.051,66.3,1.54
534.025,250.341,65.88,1.56
537.268,250.971,64.74,3.84
551.147,250.269,64.91,3.26
567.288,248.633,64.94,3.38
569.226,251.147,63.27,4.417245841
553.326,249.292,62.6,3.921497227
566.191,249.754,62.6160221,3.425748614
565.847,250.794,65.5,2.93
505.137,249.185,64.86,3.96
546.409,250.462,66.04,2.36
552.368,249.39,66.07,1.96
534.004,250.02,64.05,3.86
560.928,249.254,65.04,2.88
554.815,249.175,64.92,4.15
252.039,252.239,63.38,5.4
559.683,252.119,63.37631579,5.397590228
575.65,249.592,62.7131579,4.963831205
574.232,251.22,62.05,4.530072182
568.74,250.404,62.6,4.096313159
347.1609682,248.95,62.6,3.662554137
352.3221483,251.225,62.6,3.228795114
357.4833283,249.921,62.6,2.795036091
362.6445083,251.083,62.6,2.361277068
406.494,250.488,62.6,1.927518046
401.621,252.242,62.6,1.493759023
453.047,247.852,66.53,1.06
452.624,251.161,66.09,1.26
522.662,251.138,65.76,1.28
402.851,250.702,66.29,1.5
542.27,252.286,65.86,1.65
393.3923333,249.786,65.81,1.74
516.968,250.329,66.06,1.83
551.682,249.072,66.86,1.3
299.954,249.863,65.81,1.5
537.483,250.197,66.41,1.48
539.046,249.232,65.93,2.05
538.264,249.072,66.06,2.06
282.452,249.602,66.89,1.64
493.333,250.089,65.95,1.85
503.771,251.231,65.75,1.87
476.938,249.284,65.28,2.17
299.8757857,249.168,65.22,2.23
295.6691429,249.397,64.3,4.03
322.069,249.651,64.01,3.43
412.598,249.349,63.83,3.58
534.038,251.801,63.82,3.8
542.428,249.606,64.37,3.36
538.992,250.034,63.07,4.58
525.63,249.647,65.5,2.08
533.044,250.66,63.98,3.27
561.481,249.42,65.9,1.83
499.743,250.854,66.35,1.33
538.362,250.211,66.33,1.42
555.799,250.413,66.17,1.59
570.536,250.756,65.77,1.72
481.301,249.063,66.17,1.48
513.498,250.058,66.15,1.92
380.044,251.092,65.69,1.94
353.397,250.884,65.8,1.75
263.7147143,249.474,65.08,2.17
306.265,251.292,65.99,1.87
382.454,249.419,65.18,1.65
400.856,249.63,65.38,2.21
394.324,250.829,63.6,4.62
387.573,249.334,62.32,4.61878453
381.109,250.878,63.47,4.4
294.3843636,251.613,64.42,2.76
500.488,251.328,64.04,3.29
537.658,249.278,65,2.13
524.518,249.691,64.85,2.18
517.402,251.229,65.23,1.71
529.783,250.73,65.15,2.31
526.805,250.782,64.89,2.45
504.231,249.399,65.72,1.45
572.009,251.192,66.24,1.21
520.189,251.554,65.8,1.44
501.81,249.068,66.28,1.17
526.485,249.39,65.68,1.14
481.238,249.577,66.64,1.18
509.945,249.39,66.26,1.48
559.392,247.741,65.45,1.69
485.334,249.352,65.36,2.1
467.733,250.283,65.77,2.11
453.356,252.286,65.46,2.64
414.968,250.601,64.86,2.67
393.775,248.754,65.18,2.26
397.926,251.992,63.72,4.2
517.834,252.364,63.45,4.29
392.37,247.406,63.25,4.16
564.442,249.666,65.45,2.42
548.706,250.26,65.97,2.02
560.688,249.555,65.88,2.03
560.498,252.876,64.51,2.84
492.697,249.187,65.15,2.64
538.123,249.926,65.28,2.14
519.097,251.862,64.56,2.96
521.592,252.339,65.53,2
571.99,250.914,65.64,1.64
556.856,249.192,66.18,1.44
562.591,251.313,65.85,2.01
532.787,251.528,65.52,2.02
517.071,250.975,65.81,1.88
518.792,249.386,65.83,1.45
500.287,248.72,65.59,1.73
487.825,248.772,66.06,1.84
462.29,252.871,65.16,1.95
445.873,248.511,65.15,2.07
430.282,249.476,64.45,3.04
414.769,252.246,64.95,2.65
411.285,250.17,65.67,2.31
453.348,249.932,65.26,2.52
476.279,248.511,65.5,2.36
464.809,250.02,63.94,4.06
408.485,251.392,63.37,4.26
253.4302364,248.95,63.95,3.26
397.876,249.04,63.95281768,4.14
496.515,250.697,64.46,2.59
510.853,248.95,64.76,2
419.8585185,249.39,62.87,5.31
481.567,252.026,63.13610264,5.3
572.152,250.399,63.40073509,5.293268698
569.587,247.542,63.66536755,4.081634349
552.915,250.982,63.93,2.87
570.74,248.862,63.93646409,2.864972376
501.291,250.589,65.1,1.96
562.458,249.808,64.17,3.11
562.749,251.895,64.23,2.57
571.711,248.714,65.23,2.24
547.745,247.678,64.73,3.65
534.495,251.109,64.92,2.74
542.816,250.61,65.95,1.61
504.15,248.742,65.31,2.21
521.088,252.397,65.69,2.1
506.244,249.524,66.29,1.59
501.136,250.578,65.85,1.77
477.315,248.95,65.5,1.84
452.22,251.809,65.54,1.82
462.036,250.775,66.47,1.2
446.777,252.026,66.55,1.01
450.567,250.563,66.33,1.11
456.953,250.117,66.09,1.05
451.738,250.485,66.15,1.06
394.997,249.117,65.16,2.28
449.544,251.359,66.49,1.01
440.952,249.329,65.94,1.87
425.199,249.39,65.88,1.84
418.581,251.481,66.51,0.99
431.616,251.778,66.76,1.02
426.591,249.012,65.79,2.31
420.532,252.246,66.37,1.18
453.945,248.697,64.84,3.14
403.774,250.749,65.72,2.05
426.068,251.807,63.62,3.31
433.07,249.493,65.91,1.39
414.429,251.552,65.26,2.23
316.1648889,248.863,65.56,2.36
413.884,248.511,65.79,1.85
419.927,251.957,65.61,1.64
410.62,248.572,66.14,1.31
444.139,251.716,66.39,1.08
373.774,250.222,66.67,1.08
358.485,252.388,66.5,1.05
397.592,251.033,67.05,0.95
366.439,250.865,65.25,2.98
311.937,248.95,65.85,1.4
392.274,250.072,65.07,1.64
447.543,251.995,64.84,3.1
396.485,249.873,66.1,1.39
409.681,250.356,66.15,1.79
563.05,249.866,64.87,1.28
452.452,249.39,66.9,0.77
497.138,251.641,66.61,1.44
306.191,198.988,66.55,1.1
294.6177303,198.429,66.55,1.1
283.0444606,198.999,66.55,1.1
271.4711909,200.386,66.55,1.1
259.8979212,202.032,66.55,1.1
414.935,202.314,66.55,1.1
488.152,248.071,65.44,1.57
548.706,249.665,65.97,1.51
572.777,248.312,64.56,3
579.036,248.984,65.94,1.76
563.449,250.649,65.31,1.98
371.129,250.814,64.95,3.01
266.102,250.929,65.47,2.24
387.689,251.71,66.34,1.29
504.499,251.65,66.01,1.01
504.926,249.444,65.47,1.18
472.498,249.382,66.18,1.55
450.184,249.715,65.95,1.47
444.946,249.077,66.01,1.41
414.036,249.394,65.62,1.89
381.588,249.821,64.66,2.91
326.034,248.329,65.28,1.68
249.4841408,251.71,65.28,1.68
257.2078689,249.693,65.28,1.68
264.9315969,249.533,65.28,1.68
272.655325,218.8787857,65.28,1.68
280.379053,253.6573571,65.28,1.68
288.1027811,249.105,65.28,1.68
295.8265092,247.701,65.28,1.68
303.5502372,252.815,65.28,1.68
311.2739653,249.579,65.28,1.68
318.9976933,249.829,65.28,1.68
326.7214214,249.741,65.28,1.68
334.4451494,246.426,65.28,1.68
342.1688775,248.423,65.28,1.68
349.8926055,249.515,65.28,1.68
357.6163336,249.882,65.28,1.68
538.018,250.153,65.28049908,1.681848429
558.131,250.805,65.37033272,2.014565619
574.13,251.12,65.55,2.68
559.744,251.549,65.54635359,2.679668508
557.524,250.404,64.89,2.62
558.335,249.591,62.84,5.27
556.987,249.711,62.84574586,5.263093923
555.866,251.361,63.88,4.02
572.63,250.704,64.48,3.87
557.698,249.009,64.71,2.49
557.456,251.977,65.02,2.22
557.849,249.39,63.72,4.04
433.121,250.703,65.9,1.58
540.972,251.488,65.14,2.21
525.886,249.016,64.99,2.13
517.524,248.272,65.03,2.27
422.289,252.459,64.69,2.34
477.092,248.429,62.59,4.88
550.872,248.841,64.35,2.64
633.842,248.43,65.07,1.77
486.06,248.194,65.04,1.77
391.267,250.997,65.06,1.99
438.78,248.584,65.01,1.85
514.479,248.276,65.28,1.45
464.643,250.108,65.05,1.63
452.269,252.026,65.65,1.51
453.505,249.462,65.65,1.57
444.678,249.838,64.86,2.29
414.199,250.969,64.62,2.59
454.292,249.153,65.68,1.52
515.091,251.108,65.38,2.63
501.283,250.774,64.1,3.3
450.832,249.139,64.16,3.53
449.888,250.886,64.07,3.6
448.686,248.552,63.73,3.97
492.437,250.007,64.89,2.78
517.436,248.824,65.72,1.94
523.732,250.007,64.82,3.32
521.181,251.624,64.54,3.07
519.531,251.302,65.25,2.24
521.675,249.963,64.96,2.33
521.332,251.651,65.31,2.34
569.066,248.739,64.99,2.19
551.892,250.671,65.35,2.31
589.931,249.121,66.25,1.62
508.99,249.002,66.56,1.33
550.951,248.936,66.46,1.29
566.829,251.355,65.96,1.97
469.864,250.307,66.28,1.65
518.09,249.185,65.1,3.01
490.026,250.75,64.16,4.3
479.578,248.354,64.15342541,4.298918169
548.016,250.505,62.97,4.104188627
475.264,249.86,62.34,3.909459085
560.455,248.728,62.34900553,3.714729542
547.813,249.609,63.97,3.52
549.228,250.488,64.29,3.52
543.081,250.833,64.29,3.52
245.361,251.367,64.29,3.52
245.2307115,247.947,64.29,3.52
449.117,249.481,65.93,1.4
285.11,250.675,64.06,3.7
551.989,254.705,66.59,1.14
530.793,248.881,66.25,1.25
488.411,248.891,65.64,2.81
499.565,251.325,65.96,1.93
526.439,249.102,65,2.91
497.437,249.39,65.61,1.54
478.351,249.432,64.71,2
459.964,250.751,65.24,2.07
444.475,249.083,65.98,1.55
463.257,251.153,66.02,1.54
445.641,250.254,65.91,1.62
454.725,248.225,64.91,2.39
466.922,248.994,65.23,1.95
422.013,250.362,65.1,2.21
565.354,249.913,65.7,1.72
587.314,248.942,64.22,3.45
566.049,251.519,65.12,2.17
534.994,249.778,64.86,2.8
494.669,249.931,65.33,1.78
374.71,249.449,64.99,2.18
485.98,251.962,65.66,1.62
417.275,249.316,65.31,2.07
506.266,249.092,64.83,2.26
489.424,251.844,65.1,2.67
479.881,251.866,65.42,2.45
474.243,249.829,65.57,1.94
499.632,249.795,65.08,2.77
581.429,249.749,64.37,3.15
550.116,249,63.64,2.61
549.254,250.502,63.93,3.8
582.682,249.723,64.97,2.25
563.496,249.441,64.34,3.66
569.181,250.803,65.07,2.47
570.764,249.6,65.52,1.89
521.335,249.867,65.76,1.17
503.167,249.094,64.89,2.17
504.734,251.472,65.77,1.3
492.369,251.379,64.01,1.31
506.698,249.619,63.97,2.98
460.567,250.778,63.71,2.76
416.232,251.859,64.6,2.58
552.97,248.916,63.04,4.83
521.246,250.651,63.28,4.77
528.185,251.734,64.53,2.86
541.758,250.292,64.43,3.34
554.542,247.077,63.71,3.338232044
560.303,249.17,64.51,3.02
526.123,252.686,64.86,2.75
530.322,249.584,63.95,3.52
515.747,246.094,64.73,2.77
506.592,250.733,64.99,2.33
522.284,250.52,64.35,2.37
531.56,248.094,63.07,3.82
526.336,249.39,64.72,2.41
530.586,250.342,63.34,4.09
512.93,251.367,63.49,3.43
525.208,248.429,63.36,4.12
501.203,249.485,64.84,2.41
516.135,249.42,63.85,3.36
534.329,248.706,64.95,2.73
545.985,251.171,65.36,1.86
558.292,251.264,65.45,1.58
523.649,248.511,65,1.61
494.005,249.019,65.39,1.45
471.575,250.317,65.31,1.28
450.056,248.421,65.37,2.48
287.0650299,248.355,65.72,1.48
406.304,249.025,65.87,1.97
473.566,249.267,65.1,2.3
470.827,249.532,65.57,1.68
458.512,247.148,64.6,2.58
474.865,249.612,64.91,2.38
429.867,249.162,65.38,1.57
445.381,219.612,64.6,2.25
420.819,218.861,64.47,2.29
466.739,218.142,64.83,2.14
472.279,218.571,63.86,2.7
455.758,220.967,64.29,2.16
471.998,218.349,65.01,1.64
548.146,221.599,64.37,1.69
516.379,219.064,65.18,1.52
505.66,217.928,64.64,1.93
459.151,217.977,64.62,2.03
324.409,218.371,65.01,1.58
299.539,219.825,64.95,1.54
446.105,218.927,64.54,1.79
504.87,218.408,64.96,1.63
513.306,219.507,63.17,3.22
517.491,219.225,64.94,1.67
482.498,218.867,64.96,1.87
514.104,218.848,64.34,2.08
493.874,219.18,65.77,1.59
471.078,221.533,64.16,3.08
365.582,220.002,64.9,2.11
393.194,221.892,64.52,2.92
428.335,218.355,64.86,2.41
414.292,221.563,64.9,2.21
452.73,220.621,64.4,2.58
390.5,221.553,64.4,2.58
330.5193512,218.103,64.4,2.58
411.666,220.238,64.4,2.58
317.668,222.204,65.24,2.11
243.3710435,218.845,64.76,2.25
407.98,221.484,64.84,2.1
244.5330667,219.507,65.1,1.92
358.299,218.97,64.81,1.87
247.5568584,218.628,64.89,1.55
396.924,219.234,65.01,1.66
456.375,219.226,65.02,1.42
461.945,222.363,65.02,1.42
444.447,221.234,63.14,3.65
431.772,221.775,63.13994448,3.649973865
432.995,220.123,63.12995065,3.64526952
473.013,218.334,63.11995682,3.640565175
533.086,220.056,63.10996299,3.63586083
550.114,221.561,63.09996916,3.631156485
563.528,221.949,63.08997532,3.62645214
541.081,250.269,63.07998149,3.621747795
499.028,252.478,63.06998766,3.61704345
519.957,248.735,63.05999383,3.612339105
513.877,251.704,63.05,3.60763476
552.746,251.489,63.04980574,3.602930415
533.92,249.102,63.01483811,3.59822607
545.065,249.299,62.97987049,3.593521725
551.758,249.39,62.90993525,3.584113035
518.15,250.488,62.87496762,3.57940869
507.588,249.529,62.84,3.574704345
529.04,250.047,64.93,3.57
529.175,249.384,64.94,3.49
533.859,248.95,65.77,3.93
540.771,251.338,63.82,5.2
564.012,251.276,62.99,5.09
566.633,248.894,63.48,4.7
558.496,249.785,64.29,4.73
534.058,248.95,65.73,2.54
556.293,248.995,65.92,2.59
520.101,250.342,64.58,4.36
555.245,249.123,65.52,3.14
606.329,248.478,65.21,3.64
591.298,247.76,64.46,3.93
551.259,249.349,62.43,3.929408503
432.646,249.39,62.43407202,3.822939002
490.667,250.288,63.16703601,3.716469501
529.228,251.701,63.9,3.61
535.653,249.407,63.94,5.25
522.47,249.867,65.32,2.63
414.598,249.511,65.14,2.63
561.457,249.633,65.44,2.17
547.478,250.285,65.42,1.92
433.897,249.863,66.15,2.03
461.921,251.807,65.53,2.23
525.995,250.039,65.53,2.23
403.498,251.133,65.53,2.23
358.695,251.309,62.45,2.234935305
505.259,249.569,62.29,3.123290203
536.645,248.013,62.84,4.011645102
415.984,250.009,63.49,4.9
468.078,248.95,64.56,3.26
535.344,250.127,64.51,3.41
549.81,252.246,64.18,3.85
549.434,249.678,62.3,3.853314917
543.379,251.598,64.05,4.45
545.668,249.767,63.5,4.17
557.192,251.367,62.69,4.94
547.485,250.708,62.31,4.936132597
555.42,250.295,63.28,4.24
535.56,250.471,64.93,2.83
494.133,249.706,64.57,2.6
544.051,248.312,64.16,3.73
549.065,248.638,66.38,2.23
528.149,249.141,65.46,3.38
552.267,251.44,64.04,3.73
554.255,249.281,64.04057386,3.729589041
549.984,251.303,64.14386894,3.655616438
541.668,248.95,64.24716401,3.581643836
548.643,250.269,64.35045909,3.507671233
534.267,249.162,64.45375417,3.43369863
503.082,248.972,64.55704924,3.359726027
444.214,251.948,64.66034432,3.285753425
431.908,247.674,64.76363939,3.211780822
488.211,247.369,64.86693447,3.137808219
490.317,249.899,64.97022955,3.063835616
492.196,249.124,65.07352462,2.989863014
505.841,251.44,65.1768197,2.915890411
452.973,249.094,65.28011477,2.841917808
370.483,249.39,65.38340985,2.767945206
331.583,249.99,65.48670492,2.693972603
419.022,249.767,65.59,2.62
421.476,249.397,62.13,5.11
422.32,251.215,62.13146814,5.109605182
494.121,250.096,62.39573407,5.03853794
529.946,246.533,62.66,4.967470697
549.864,247.997,62.65861879,4.896403455
545.95,248.624,62.4110957,4.75426897
314.3356364,249.538,62.60832178,4.683201727
275.978,249.242,62.80554785,4.612134485
414.993,249.189,63.00277393,4.541067242
472.447,251.302,63.2,4.47
468.824,248.808,62.93,5.4
437.169,252.246,62.92895028,5.399171271
376.261,252.041,62.74,5.25
501.341,251.5,62.74103608,5.24973173
498.797,250.978,62.92753007,5.201443108
266.177,247.798,63.11402405,5.153154487
275.3141429,251.685,63.30051804,5.104865865
601.667,252.654,63.48701203,5.056577243
601.807,251.078,63.67350601,5.008288622
602.272,250.017,63.86,4.96
601.033,297.287,65.52,2.4
600.541,295.385,65.07,3.53
601.807,294.572,62.8,3.532872928
602.111,292.731,64.08,4.05
602.086,289.224,63.37,5.23
601.953,291.05,63.64,4.4
599.365,289.589,63.93,3.74
597.399,293.995,64.38,2.91
601.12,297.916,64.74,3.29
598.095,298.51,62.75,4.9
598.135,301.881,62.74994451,4.899559699
599.747,299.156,62.73995561,4.820305434
600.634,301.008,62.7299667,4.74105117
596.017,299.781,62.7199778,4.661796906
596.221,299.686,62.7099889,4.582542642
598.18,299.82,62.7,4.503288378
599.18,298.083,62.44,4.424034113
435.217,299.54,62.27,4.344779849
472.165,302.288,62.41,4.265525585
418.777,299.206,62.409681,4.186271321
597.667,296.875,62.35226075,4.107017057
600.823,298.685,62.2948405,4.027762793
601.927,297.773,62.23742025,3.948508528
598.755,298.403,62.18,3.869254264
602.992,299.929,64.83,3.79
595.833,299.604,65.25,3.09
600.261,301.47,66.56,1.27
601.204,297.779,65.86,1.49
594.079,302.124,66.95,1.12
596.411,297.311,66.32,1.15
601.807,301.307,67.23,1
601.726,298.331,67.08,1.07
627.1978276,297.995,66.47,1.34
597.345,301.685,66.56,1.04
597.76,301.802,66.71,1.34
596.533,300.752,66.79,1.17
599.876,301.557,66.47,1.09
431.8788654,298.169,66.47,1.09
598.048,297.668,66.47,1.09
600.656,296.614,66.47,1.09
431.5070128,301.477,66.47,1.09
411.0935352,299.174,66.47,1.09
390.6800577,240.061,66.47,1.09
370.2665801,299.461,66.47,1.09
349.8531026,299.442,66.47,1.09
329.4396251,298.178,66.47,1.09
309.0261475,300.471,66.47,1.09
288.61267,300.57,66.47,1.09
268.1991925,303.108,66.47,1.09
247.7857149,301.947,66.47,1.09
291.3757647,301.01,66.47,1.09
417.195,299.919,65.09,3.58
480.289,301.018,64.28,4.03
509.349,299.234,65.28,3.02
471.964,301.362,63.67,4.721546961
523.431,301.037,64.36,5
520.398,301.303,65.78,3.23
530.087,300.954,66.95,1.3
529.663,299.443,66.61,1.23
598.622,298.389,66.33,1.38
599.304,300.475,66.3,1.32
495.605,299.268,66.24,1.13
508.806,298.305,67.2,1.06
530.047,298.075,66.97,1.13
533.386,299.52,67.07,0.88
524.776,298.716,66.69,1.11
490.22,298.389,67,1.06
424.714,299.028,65.98,1.1
395.522,298.253,66.56,1.23
380.892,299.762,66.86,1.18
371.55,298.334,65.46,3.2
408.004,302.01,64.67,3.71
455.517,298.464,65.74,2.12
497.289,299.134,65.6,2.12
519.874,301.825,64.88,2.85
509.015,300.012,64.9,2.69
523.157,298.487,66.3,1.84
520.73,298.432,66.27,1.64
508.423,301.904,66.48,1.24
519.934,298.212,66.29,1.56
507.691,298.514,66.32,2.08
479.439,300.172,65.14,2.96
334.163,299.828,65.3,2.14
398.898,301.397,65.37,2.47
455.279,301.514,65.6,2.07
345.5346667,185.9019209,66.17,1.92
470.05,189.0046547,65.48,2.33
449.075,192.1073885,63.58,4.6
433.89,195.2101223,63.79,4.42
442.223,198.3128561,63.78447514,4.423756906
343.8318972,201.4155899,62.79,5.1
512.401,301.703,63.61,3.34
555.959,297.167,64.36,3.03
559.988,300.933,64.02,4.28
549.683,298.844,63.76,3.83
529.98,298.007,65.38,2.18
555.43,301.683,66.62,1.17
551.235,298.937,63.98,3.32
533.029,302.849,66.51,1.27
529.325,299.372,66.95,1.12
488.46,302.093,65.29,2.52
522.474,299.693,62.72,2.525009242
505.981,302.097,62.7179558,3.426672828
538.33,297.949,62.35,4.328336414
555.24,298.747,63.61,5.23
553.532,302.004,63.85,4.63
530.396,193.101802,64.43,4.14
511.756,190.0253168,64.69,4.23
480.957,186.9488317,62.5,4.229290561
500.954,183.8723465,62.50596685,4.10159161
540.007,180.7958614,63.58,3.973892659
538.345,248.629,63.57878453,3.846193708
500.203,250.153,63.36,3.718494756
250.58,247.555,63.83,3.590795805
471.949,249.335,62.3,3.463096854
440.687,301.859,62.83,3.335397903
